Id,Start,Name,Impact,Currency
7c514304-ee0b-488e-b5b7-ce579b8b0173,01/01/2012 00:00:00,New Year's Day,NONE,USD
65ab4519-b543-40b7-803f-a76308a1019c,01/01/2012 00:00:00,New Year's Day,NONE,GBP
beb41f50-1839-49bd-97d1-6442bbf95014,01/01/2012 00:00:00,New Year's Day,NONE,JPY
fdd5740d-3e2e-4912-9385-2a540c113ea2,01/03/2012 00:00:00,Bank Holiday,NONE,JPY
c8ee7567-15f4-4ed7-ab4a-5d428741dbd6,01/03/2012 00:00:00,New Year's Day,NONE,CNY
ed8ffe61-e5bf-41c7-a88c-e89216f405ae,01/03/2012 19:00:00,FOMC Minutes,HIGH,USD
d42a909c-934c-4e99-ba8b-db86a416b482,01/06/2012 13:30:00,Nonfarm Payrolls,HIGH,USD
e11d33b4-f034-440b-a3cd-b365e143ba5e,01/06/2012 13:30:00,Unemployment Rate,HIGH,USD
cec11c01-eccf-49e2-a2b1-60975145195b,01/09/2012 00:00:00,Coming-of-Age Day,NONE,JPY
b3a97056-95cf-458d-b8b8-d765473a0f17,01/11/2012 19:00:00,Fed's Beige Book,HIGH,USD
202c5558-232a-49a0-b0c2-9c6c7196e172,01/12/2012 12:00:00,BoE Asset Purchase Facility,HIGH,GBP
420ccfc4-d072-4958-a834-89541685b7ab,01/12/2012 12:00:00,BoE Interest Rate Decision,HIGH,GBP
d5efc7ec-5d19-4ef3-b43e-9ee0fbe52c21,01/12/2012 12:45:00,ECB rate on main refinancing operations,HIGH,EUR
c9738cb5-bc10-4250-809f-d03ba200fd75,01/12/2012 13:30:00,ECB's President Draghi speech,HIGH,EUR
c18076f8-818a-4b2b-bd29-a53441b7830a,01/16/2012 00:00:00,Martin L. King's Birthday,NONE,USD
89a1cca5-7981-46f2-bf16-d799b025b2a6,01/17/2012 09:30:00,Core Consumer Price Index (YoY),HIGH,GBP
205cb14b-20ed-464e-ad3f-4a43f75a83c2,01/17/2012 10:00:00,BoE's Governor King speech,HIGH,GBP
bf848272-5554-47fb-9335-5ec2d65a7270,01/17/2012 10:00:00,"HICP-X F,E,A,T (YoY)",HIGH,EUR
58d09006-cc59-4edd-939b-6abeadde70fd,01/18/2012 09:30:00,Claimant Count Change,HIGH,GBP
d02fe7a4-da84-412b-bfca-8d5ae0916eb6,01/19/2012 09:00:00,ECB Monthly Report,HIGH,EUR
594a53d0-5361-4233-9686-a8917a8e0de4,01/19/2012 13:30:00,Consumer Price Index (YoY),HIGH,USD
920870ed-bd24-4d2d-9e41-268cbe4c9b07,01/19/2012 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
07dfc6c1-ba10-4950-bc3a-280be835f253,01/22/2012 08:48:05,"Chinese New Year Eve ",NONE,CNY
07830c86-3484-47ef-ad29-a1671a85f995,01/23/2012 00:00:00,Chinese New Year,NONE,CNY
705f7504-1409-4835-9a4d-1f2c18f3511d,01/24/2012 00:00:00,Chinese New Year,NONE,CNY
79655ace-7fbb-49b7-8cc3-6f823750fa94,01/24/2012 03:35:00,"BoJ Monetary Policy Statement ",HIGH,JPY
40a74862-ded2-40cb-8ecf-28cdcbe7faad,01/24/2012 03:35:29,BoJ Interest Rate Decision,HIGH,JPY
5dadb884-786e-4c27-b12e-873c411b30be,01/25/2012 00:00:00,Chinese New Year,NONE,CNY
f044fc8d-196b-4cd4-acc1-4868ae7bd28a,01/25/2012 09:30:00,Bank of England Minutes,HIGH,GBP
a256ecd6-bd49-448d-a42d-c9616b69467f,01/25/2012 17:30:00,Fed Interest Rate Decision,HIGH,USD
c4b3921c-d52e-41b1-8709-0e1e1eecb254,01/25/2012 18:00:00,FOMC Economic Projections,HIGH,USD
aaecbaa8-bcd6-4941-8a1e-bcac84b3b21f,01/25/2012 19:15:00,Fed's Monetary Policy Statement and Press Conference,HIGH,USD
8eeaf82a-49a1-47c5-9ac9-b40c89b1d8bf,01/26/2012 00:00:00,Chinese New Year,NONE,CNY
5e479253-d8a6-43d6-8943-dc44437df8d1,01/26/2012 23:50:00,BoJ Monetary Policy Meeting Minutes,HIGH,JPY
48bf1e93-c37e-4af2-a83e-2d7c427d0975,01/27/2012 00:00:00,Chinese New Year,NONE,CNY
d84b9e76-6aff-45a7-9bcf-f1418f6dd379,01/30/2012 00:00:00,EU Extraordinary Economic Summit,HIGH,EUR
6e99e6b7-a9ed-4587-a0be-a7124bc8b971,01/31/2012 10:00:00,Unemployment Rate,HIGH,EUR
acebd475-d65c-4a79-beeb-cddb369d6302,02/01/2012 10:00:00,HICP (YoY),HIGH,EUR
5184ff2b-9ca9-4820-b504-6b2b2c01ed2b,02/02/2012 10:00:00,Producer Price Index (YoY),HIGH,EUR
e13d86f6-1e8a-4fa6-be2a-e64be10f7bee,02/03/2012 13:30:00,Nonfarm Payrolls,HIGH,USD
9e7d4f30-cc36-46f4-842b-2f2ad26646fd,02/03/2012 13:30:00,Unemployment Rate,HIGH,USD
aaa02563-60c0-4633-91d7-ee5daa442b47,02/07/2012 15:00:00,Fed's Chair Bernanke testifies,HIGH,USD
2431edfb-2c43-4b43-92fa-e8984a45f940,02/09/2012 01:30:00,Consumer Price Index (YoY),HIGH,CNY
812c6cb6-71ec-4dd0-853a-43e42e686bce,02/09/2012 01:30:00,Producer Price Index (YoY),HIGH,CNY
127707bc-414a-4f07-832a-de2c3bd9643c,02/09/2012 12:00:00,BoE Asset Purchase Facility,HIGH,GBP
0c5c4781-cac2-4da7-9497-b11cf22bb42c,02/09/2012 12:00:00,BoE Interest Rate Decision,HIGH,GBP
d058486b-9475-4838-92f1-881addea9b64,02/09/2012 12:45:00,ECB rate on main refinancing operations,HIGH,EUR
e8a575f0-53bd-4606-a268-ea9264df781e,02/09/2012 13:30:00,ECB's President Draghi speech,HIGH,EUR
7fad93ab-b996-4201-afcb-1d8c1e382da0,02/11/2012 00:00:00,National Foundation Day,NONE,JPY
4a24c8bc-c983-4f8b-a443-b9c29104a5bd,02/13/2012 16:15:00,Barack Obama Press Conference,HIGH,USD
8975da2a-2c91-4e3d-9cc8-da80a9d68456,02/14/2012 03:44:22,BoJ Interest Rate Decision,HIGH,JPY
4d24c29a-5e74-474c-996c-f8b50c20deec,02/14/2012 04:00:00,"BoJ Monetary Policy Statement ",HIGH,JPY
fa7a688c-400b-4dc4-bece-8f57ddb8ec7f,02/15/2012 10:30:00,Bank of England Monetary Policy Report,HIGH,GBP
97e4a03f-4d82-4012-a7ca-73ba4f903dd4,02/15/2012 19:00:00,FOMC Minutes,HIGH,USD
7455d4df-00e3-4262-b5c7-0b0db471be03,02/17/2012 13:30:00,Consumer Price Index (YoY),HIGH,USD
a6b5a7e1-977e-4d06-9f2d-561a5f21e630,02/17/2012 13:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
27d33451-66a1-40cd-bf76-f86adf69e4ec,02/20/2012 00:00:00,Presidents' Day,NONE,USD
57011a5e-ac6c-4c31-98e8-ddcd1e4e8685,02/20/2012 14:30:13,EU Finance Ministers Meeting,HIGH,EUR
a66c4557-4c01-48d4-82fc-560794c0fe64,02/22/2012 09:30:00,Bank of England Minutes,HIGH,GBP
01bb38e1-4d7c-4a58-a49c-6fcb134241e2,02/29/2012 10:00:00,HICP (YoY),HIGH,EUR
d695a8d4-4d41-4629-8d3b-379643e2ec38,02/29/2012 10:15:00,ECB LTRO Auction,HIGH,EUR
5cefb7b5-1c3f-4286-bd53-02a97db97b57,03/01/2012 00:00:00,EU Extraordinary Economic Summit,HIGH,EUR
fe44e21e-6c15-40ca-9fb7-8285c0728d7c,03/01/2012 10:00:00,Unemployment Rate,HIGH,EUR
05fbded4-d3a4-446f-a4db-8e192eb4cb01,03/01/2012 10:00:21,HICP (YoY),HIGH,EUR
d7303de3-aa7f-46dd-9f02-e94a1a1c9a6e,03/02/2012 00:00:00,EU Extraordinary Economic Summit,HIGH,EUR
31d96089-b09f-4743-8952-4e31408609c8,03/02/2012 10:00:00,Producer Price Index (YoY),HIGH,EUR
1a7403b9-001a-4c05-8e88-852ea8f6d593,03/08/2012 12:00:00,BoE Asset Purchase Facility,HIGH,GBP
fd5353a8-7729-4d14-8a6e-6212bd322b2c,03/08/2012 12:00:00,BoE Interest Rate Decision,HIGH,GBP
c58694e9-2a5b-4e24-9a19-ef210fe3b775,03/08/2012 12:45:00,ECB rate on main refinancing operations,HIGH,EUR
b566794a-fb18-48b4-b59f-6e4ee5601a47,03/08/2012 13:30:00,ECB Press Conference,HIGH,EUR
b83932a0-daf1-4e7d-a6a0-febc3a615aa7,03/09/2012 01:30:00,Consumer Price Index (YoY),HIGH,CNY
abfa08d7-a7d6-43e8-b956-39acabdcff94,03/09/2012 01:30:00,Producer Price Index (YoY),HIGH,CNY
8ba53db5-d11a-4c83-abed-611c0bcc6210,03/09/2012 08:30:00,Consumer Inflation Expectations,HIGH,GBP
6e5eb5f1-b466-4d09-9091-61d375f3a821,03/09/2012 13:30:00,Nonfarm Payrolls,HIGH,USD
b6467704-195d-4dcf-b6c5-2b81c3b16222,03/09/2012 13:30:00,Unemployment Rate,HIGH,USD
9abff6c7-7274-45ce-8391-e38259dd6d8a,03/12/2012 00:00:00,EU Finance Ministers Meeting,HIGH,EUR
465540ed-20ba-441b-acd5-48756076ff82,03/13/2012 05:07:40,BoJ Interest Rate Decision,HIGH,JPY
8cd48069-6c3c-4fe0-85ab-b8bd8e8c62b0,03/13/2012 15:11:00,Bank Stress Test Info,HIGH,USD
21915cb4-72de-44ea-9900-7d3e4391fdd5,03/13/2012 18:15:00,Fed Interest Rate Decision,HIGH,USD
679b7d0d-3cb2-4b23-af6a-2b5c9e133d25,03/14/2012 10:00:00,HICP (YoY),HIGH,EUR
f09881c3-0879-4677-b0bc-675c76443801,03/16/2012 12:30:00,Consumer Price Index (YoY),HIGH,USD
4bce4e1d-1b8d-413c-99f2-450c886bc91d,03/16/2012 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
855bd566-2447-4b50-84af-8ce49272c4b4,03/20/2012 00:00:00,Vernal Equinox Day,NONE,JPY
ffbed200-559c-4b04-988c-2609ee5f96d1,03/21/2012 09:30:00,Bank of England Minutes,HIGH,GBP
41c35a86-2460-4681-88e4-1db491c4d9f6,03/22/2012 12:00:00,European Systemic Risk Board Meeting,HIGH,EUR
797f7f5c-042e-4e4d-a944-82b22e5a1a3f,03/26/2012 12:00:00,Former Fed's Chair Bernanke speech,HIGH,USD
558ea349-0964-447b-ab61-a0afeb15918b,03/26/2012 16:00:00,ECB's President Draghi speech,HIGH,EUR
a7c7fcb9-043d-4ee1-9f15-a1c9b52b2480,03/30/2012 09:00:00,HICP (YoY),HIGH,EUR
5f81a88f-d05b-46f3-bf9e-c18f79408fc4,04/02/2012 00:00:00,Ching Ming Festival,NONE,CNY
ff627ffd-e19b-420b-be60-a8c834992ce9,04/02/2012 10:00:00,Unemployment Rate,HIGH,EUR
8a385af3-6488-43ac-a2ea-9d1bb620c4da,04/03/2012 00:00:00,Ching Ming Festival,NONE,CNY
85192e01-de1a-4883-83d2-2b361f45f1fc,04/03/2012 09:00:00,Producer Price Index (YoY),HIGH,EUR
19df5988-b1b6-4520-9fb5-d3b725aeb6c2,04/03/2012 18:00:00,FOMC Minutes,HIGH,USD
1d3f1926-44c7-49b9-9bdf-37a36fd63c7e,04/04/2012 00:00:00,Ching Ming Festival,NONE,CNY
ba15b379-27ae-4bae-a02b-fc81cbe7ae5b,04/04/2012 11:45:00,ECB rate on main refinancing operations,HIGH,EUR
37ad9d25-8656-45ec-b54f-0a26b442966e,04/04/2012 12:30:00,ECB Press Conference,HIGH,EUR
bdb84ac2-cbb5-432e-8593-ac9831199ead,04/05/2012 11:00:00,BoE Asset Purchase Facility,HIGH,GBP
c3424f68-e35b-4275-8883-43c269925008,04/05/2012 11:00:00,BoE Interest Rate Decision,HIGH,GBP
68f707ea-2caf-4b10-8ae5-5cb82a15b924,04/06/2012 00:00:00,Good Friday,NONE,GBP
1e277f86-6ebe-4ae6-a4a0-27a6d7e158aa,04/06/2012 12:30:00,Nonfarm Payrolls,HIGH,USD
216460d1-e23a-4d30-a79b-024261bbfe89,04/06/2012 12:30:00,Unemployment Rate,HIGH,USD
7971c21e-0e43-4b09-b61d-b2b5b2491e68,04/09/2012 00:00:00,Easter Monday,NONE,GBP
c388883c-d338-4491-938f-575d2069d868,04/09/2012 01:30:00,Consumer Price Index (YoY),HIGH,CNY
cdbec204-4a9d-4738-a06d-67483e49243d,04/09/2012 01:30:00,Producer Price Index (YoY),HIGH,CNY
03b0bf92-910b-4160-97be-d29e49ceb8fa,04/10/2012 03:30:00,BoJ Interest Rate Decision,HIGH,JPY
a2622ee5-faaf-42ce-b1b8-5204ed9eeb68,04/12/2012 08:00:00,ECB Monthly Report,HIGH,EUR
56b539d5-6794-43d6-8b45-9a18ac788a7b,04/13/2012 12:30:00,Consumer Price Index (YoY),HIGH,USD
c7ab73b8-5e51-45ce-82db-9a44b2858da4,04/13/2012 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
f42c1499-c565-47f1-92a1-21903c6a5658,04/17/2012 08:30:00,Consumer Price Index (YoY),HIGH,GBP
580b7e43-f6aa-4585-ae1b-3689cbf27fb8,04/17/2012 09:00:00,HICP (YoY),HIGH,EUR
d2cf9717-dc37-45a5-8c3d-d76d27e70a48,04/17/2012 09:00:00,"HICP-X F,E,A,T (YoY)",HIGH,EUR
2d5cf7ad-6213-4fb5-9f45-f68dcec775a1,04/17/2012 12:30:00,ECB's President Draghi speech,HIGH,EUR
ea40fb9a-0d9f-4eab-97a3-d571c61cf478,04/18/2012 08:30:00,Bank of England Minutes,HIGH,GBP
05a5455e-6ec7-40b8-979f-0d6ecc074d7b,04/18/2012 08:30:00,Claimant Count Change,HIGH,GBP
7f9bcbb6-38a6-4f69-b872-64c5f94b9b60,04/19/2012 00:00:00,G20 Meeting,HIGH,EUR
a6316a6f-1753-4006-93fc-2eec5dc6022f,04/20/2012 00:00:00,G20 Meeting,HIGH,EUR
fa0128e0-0140-4d89-9a20-1bc6ff91d7b8,04/25/2012 07:00:34,ECB's President Draghi speech,HIGH,EUR
f9f01927-6596-43c9-ab27-17d273e29961,04/25/2012 16:30:00,Fed Interest Rate Decision,HIGH,USD
dba3e63b-f930-4a78-a135-ec60173d3d43,04/25/2012 18:00:00,FOMC Economic Projections,HIGH,USD
4a42f127-6329-4a95-bff8-885cb4111b98,04/25/2012 18:15:00,Fed's Monetary Policy Statement and Press Conference,HIGH,USD
55d6c762-32e5-448e-a856-092c54f63d6c,04/26/2012 07:30:07,ECB's President Draghi speech,HIGH,EUR
cc64705b-278a-4d77-9543-88ea83b7cb8b,04/27/2012 03:30:00,BoJ Interest Rate Decision,HIGH,JPY
c28f84ff-d574-4e61-8086-f3a736aadcec,04/29/2012 00:00:00,Showa Day,NONE,JPY
a5635a9d-909d-4d92-8925-05aa79d8ed51,05/01/2012 00:00:00,Labour Day,NONE,CNY
f3910c21-6416-4c40-934b-f992e49a48e6,05/03/2012 00:00:00,Constitution Day,NONE,JPY
2d2cf2c2-f003-4946-bc5d-946af06c51b3,05/03/2012 09:00:00,Producer Price Index (YoY),HIGH,EUR
6a9c7ddc-91fc-4dfd-b860-0c18c9a9b669,05/03/2012 11:45:00,ECB rate on main refinancing operations,HIGH,EUR
caa6d3ac-168f-46d6-80c8-d1a1a3dcbb55,05/03/2012 12:30:00,ECB's President Draghi speech,HIGH,EUR
0c050859-cb71-41e9-81f4-070613ce8aaa,05/04/2012 00:00:00,Greenery Day,NONE,JPY
3c8a8ab6-7bb5-475d-93ef-550e6402e396,05/04/2012 12:30:00,Nonfarm Payrolls,HIGH,USD
7e9e629e-e76c-4ff4-ab50-51201a0bb11f,05/04/2012 12:30:00,Unemployment Rate,HIGH,USD
924c0a94-e855-4202-971e-1ee58348faae,05/05/2012 00:00:00,Children's Day,NONE,JPY
287de187-362e-4f97-ab9e-b010d48e6587,05/07/2012 00:00:00,Early May,NONE,GBP
0b25980b-6cd4-450f-af83-0d875e78748d,05/08/2012 12:30:38,ECB's President Draghi speech,HIGH,EUR
cc826307-173e-40da-87c7-87c794a4e77a,05/10/2012 08:00:00,ECB Monthly Report,HIGH,EUR
8c5ca680-948d-450b-a647-9f35bf948783,05/10/2012 11:00:00,BoE Asset Purchase Facility,HIGH,GBP
a3b450b3-eabc-48e5-9d19-d0272366163e,05/10/2012 11:00:00,BoE Interest Rate Decision,HIGH,GBP
8e492720-64ae-408d-af08-7220b0687f2c,05/11/2012 01:30:00,Consumer Price Index (YoY),HIGH,CNY
d3e8ea1e-1223-4b3c-8267-2a597a1f7a93,05/11/2012 09:00:22,European Commission releases Economic Growth Forecasts,HIGH,EUR
c4890372-884f-4830-9417-07b4f82d8447,05/15/2012 12:30:00,Consumer Price Index (YoY),HIGH,USD
c8632d6c-d7f6-4fe3-8f17-ec75455b1464,05/15/2012 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
d58aef70-7ec3-48ce-8d14-0efcebd2a825,05/16/2012 08:30:00,Claimant Count Change,HIGH,GBP
1a68751f-2e12-452f-9b77-07fc7f7c8b81,05/16/2012 09:00:00,HICP (YoY),HIGH,EUR
4ae88148-78e3-445a-9128-fd799bc32714,05/16/2012 09:00:00,"HICP-X F,E,A,T (YoY)",HIGH,EUR
ec3c5663-6944-47f5-ba34-7993b06ec218,05/16/2012 09:30:00,Bank of England Monetary Policy Report,HIGH,GBP
06f9d7f1-7062-412a-bdfe-1ac8c2f28b6e,05/16/2012 18:00:00,FOMC Minutes,HIGH,USD
33492eda-5ec7-4694-82b9-30a7b44c19bb,05/18/2012 00:00:00,G8 Meeting,NONE,EUR
3d3298f6-e1e8-463b-b27b-13e6a017107f,05/19/2012 00:00:00,G8 Meeting,NONE,EUR
16fd4d81-c5f0-4563-946b-470acec87dfa,05/22/2012 08:30:00,Consumer Price Index (YoY),HIGH,GBP
b89d3ba1-c3f8-4cc9-8f9a-a2700b62315f,05/22/2012 08:30:00,Core Consumer Price Index (YoY),HIGH,GBP
3a16730d-79e1-43ff-9170-5d2d4eeb8e4e,05/23/2012 04:00:00,BoJ Interest Rate Decision,HIGH,JPY
